nodes,graph_type,bfs,irreducibility,laplacian
10,r_graph,5.7220458984375e-05,0.0001308917999267578,0.014236211776733398
60,r_graph,0.0002129077911376953,0.004765033721923828,0.0319056510925293
110,r_graph,0.0003781318664550781,0.018117904663085938,0.06493616104125977
160,r_graph,0.0005280971527099609,0.05503535270690918,0.08145523071289062
210,r_graph,0.0006840229034423828,0.1556696891784668,0.10816216468811035
260,r_graph,0.0008399486541748047,0.34543299674987793,0.12148714065551758
310,r_graph,0.0010900497436523438,0.7398762702941895,0.13071584701538086
360,r_graph,0.0012180805206298828,1.355497121810913,0.16863608360290527
410,r_graph,0.0015292167663574219,2.477936029434204,0.1908259391784668
460,r_graph,0.002115011215209961,4.354416847229004,0.19764184951782227
510,r_graph,0.0018570423126220703,5.418155908584595,0.21665692329406738
560,r_graph,0.0021140575408935547,7.676887035369873,0.24796104431152344
610,r_graph,0.0022649765014648438,10.571687936782837,0.26400303840637207
660,r_graph,0.002567768096923828,13.558043718338013,0.2589261531829834
710,r_graph,0.0022919178009033203,17.99288320541382,0.2940030097961426
760,r_graph,0.0025980472564697266,23.196990966796875,0.33379077911376953
810,r_graph,0.0028858184814453125,30.314454793930054,0.36380505561828613
860,r_graph,0.002886056900024414,39.36752104759216,0.3975849151611328
910,r_graph,0.0034971237182617188,47.4493350982666,0.4812030792236328
960,r_graph,0.0032470226287841797,56.77861309051514,0.49177098274230957
1010,r_graph,0.003537893295288086,70.6407880783081,0.5525498390197754
10,er_graph,3.600120544433594e-05,0.00018787384033203125,0.0001590251922607422
60,er_graph,0.0002079010009765625,0.004698991775512695,0.0008711814880371094
110,er_graph,0.0003871917724609375,0.018860816955566406,0.0017268657684326172
160,er_graph,0.0006132125854492188,0.0668952465057373,0.0027420520782470703
210,er_graph,0.0007481575012207031,0.185683012008667,0.003487110137939453
260,er_graph,0.0009739398956298828,0.3788328170776367,0.05770516395568848
310,er_graph,0.0011661052703857422,0.8029251098632812,0.006537199020385742
360,er_graph,0.002413034439086914,1.477858066558838,0.07151222229003906
410,er_graph,0.0017390251159667969,2.4217770099639893,0.009027719497680664
460,er_graph,0.0019068717956542969,3.6640141010284424,0.009926080703735352
510,er_graph,0.0020601749420166016,5.49569296836853,0.010866880416870117
560,er_graph,0.002318859100341797,7.69937801361084,0.01247406005859375
610,er_graph,0.0026960372924804688,10.647899866104126,0.014086008071899414
660,er_graph,0.0031251907348632812,13.76151990890503,0.015041112899780273
710,er_graph,0.003219127655029297,18.35677480697632,0.016115903854370117
760,er_graph,0.003313779830932617,23.72230315208435,0.05698204040527344
810,er_graph,0.003609895706176758,31.078350067138672,0.1651771068572998
860,er_graph,0.003929853439331055,39.64769721031189,0.020515918731689453
910,er_graph,0.003789186477661133,49.452669858932495,0.023027896881103516
960,er_graph,0.0045928955078125,57.53938269615173,0.13125109672546387
1010,er_graph,0.004786014556884766,73.72428107261658,0.061020851135253906
